PC,Inst Name,Jump?,Jump Addr
0x7352,"JR Z,$7358  [+4]",1,0x7358
0x32F7,"JR Z,$3302  [+9]",1,0x3302
0x32FC,"JR NZ,$32F4  [-10]",1,0x32F4
0x737C,"JP Z,$758B",1,0x758B
0x7389,"JR NZ,$7395  [+10]",1,0x7395
0x73C4,"JR Z,$73DB  [+21]",1,0x73DB
0x73CB,"CALL Z,$00CE",1,0xCE
0x73D2,"JR NZ,$740C  [+56]",1,0x740C
0x73D3,"JR C,$73DB  [+6]",1,0x73DB
0x73F5,"JR Z,$740B  [+20]",1,0x740B
0x7412,"JR NZ,$73EE  [-38]",1,0x73EE
0x7413,"JP C,$74FF",1,0x74FF
0x7443,"CALL Z,$D557",1,0xD557
0x7496,"JR C,$749D  [+5]",1,0x749D
0x301A,"JR NZ,$3023  [+7]",1,0x3023
0x303C,"JR C,$3046  [+8]",1,0x3046
0x3042,"JR NZ,$302B  [-25]",1,0x302B
0x7507,"CALL Z,$00CE",1,0xCE
0x7511,"JR C,$752D  [+26]",1,0x752D
0x7516,"JR NC,$752D  [+21]",1,0x752D
0x753D,"CALL Z,$00CE",1,0xCE
0x7549,"JR NZ,$755A  [+15]",1,0x755A
0x7574,"JR Z,$757F  [+9]",1,0x757F
0x7584,"JR NZ,$7590  [+10]",1,0x7590
0x764A,"JP Z,$7685",1,0x7685
0x7598,"JR Z,$759F  [+5]",1,0x759F
0x75B0,"CALL Z,$E82D",1,0xE82D
0x2E01,"JR Z,$2E06  [+3]",1,0x2E06
0x130EB,"JR NZ,$70FD  [+16]",1,0x70FD
