PC,"Inst Name",Jump?,Jump Addr
0x23AF,"ADD SP,+3",0,0x0
0x23B0,"INC BC",0,0x0
0x23B1,"LD HL,$CA8B",1,0xCA8B
0x23B2,"ADC A,E",0,0x0
0x23B4,"INC (HL)",0,0x0
0x23B5,"JR NZ,$23B9  [+2]",1,0x23B9
0x23B6,"LD (BC),A",0,0x0
0x23B9,"LD HL,$CA8F",1,0xCA8F
0x23BA,"ADC A,A",0,0x0
0x23BC,"INC (HL)",0,0x0
0x23BD,"JR NZ,$23C1  [+2]",1,0x23C1
0x23BE,"LD (BC),A",0,0x0
0x23C1,"LD HL,(SP+2)",0,0x0
0x23C2,"LD (BC),A",0,0x0
0x23C3,"INC (HL)",0,0x0
0x23C4,"LD HL,$CA95",1,0xCA95
0x23C5,"SUB L",0,0x0
0x23C7,"DEC (HL)",0,0x0
0x23C8,"JP $2348",1,0x2348
0x23C9,"LD C,B",0,0x0
0x2422,"CALL $07AE",1,0x7AE
0x2423,"XOR (HL)",0,0x0
0x2425,"ADD SP,+3",0,0x0
0x2426,"INC BC",0,0x0
0x2427,"RET",0,0x0
0x2431,"CALL $230D",1,0x230D
0x2432,"DEC C",0,0x0
0x2434,"JR $242A  [-12]",1,0x242A
0x2435,"[UNUSED]",0,0x0
0x23B7,"INC HL",0,0x0
0x23B8,"INC (HL)",0,0x0
0x472F,"LD HL,(SP+8)",0,0x0
0x4730,"LD ($F87E),SP",1,0xF87E
0x4731,"LD A,(HL)",0,0x0
0x4732,"LD HL,(SP+4)",0,0x0
0x4733,"INC B",0,0x0
0x4734,"SUB (HL)",0,0x0
0x4735,"JP Z,$476B",1,0x476B
0x4736,"LD L,E",0,0x0
0x4738,"LD HL,(SP+4)",0,0x0
0x4739,"INC B",0,0x0
0x473A,"LD C,(HL)",0,0x0
0x473B,"LD B,$00",0,0x0
0x473C,"NOP",0,0x0
0x473D,"LD DE,$0001",1,0x1
0x473E,"LD BC,$7900",1,0x7900
0x4740,"LD A,C",0,0x0
0x4741,"SUB E",0,0x0
0x4742,"LD E,A",0,0x0
0x4743,"LD A,B",0,0x0
0x4744,"SBC A,D",0,0x0
0x4745,"DEC HL",0,0x0
0x4746,"DEC HL",0,0x0
0x4747,"LD (HL-),A",0,0x0
0x4748,"LD (HL),E",0,0x0
0x4749,"LD HL,(SP+8)",0,0x0
0x474A,"LD ($F87E),SP",1,0xF87E
0x474B,"LD A,(HL)",0,0x0
0x474C,"LD HL,(SP+3)",0,0x0
0x474D,"INC BC",0,0x0
0x474E,"LD (HL),A",0,0x0
0x474F,"XOR A",0,0x0
0x4750,"INC HL",0,0x0
0x4751,"LD (HL-),A",0,0x0
0x4752,"LD A,(HL-)",0,0x0
0x4753,"DEC HL",0,0x0
0x4754,"SUB (HL)",0,0x0
0x4755,"JR NZ,$475E  [+7]",1,0x475E
0x4756,"RLCA",0,0x0
0x475E,"DEC BC",0,0x0
0x475F,"DEC BC",0,0x0
0x4760,"LD HL,(SP+3)",0,0x0
